strategy,implementation_shortfall_bps,execution_cost,market_impact_cost,completion_rate,vwap_slippage_bps,terminal_penalty
POV,20.080374244788175,36693.2174018086,4305.01253481643,0.9988819995619806,12.550698312127343,104.47836230995075
Regime-Aware PPO,21.90149178719114,39912.89397155946,3561.5483062332078,0.9893503250205623,11.993189578954308,1185.0564732999067
PPO (shuffled regime),21.983829261848804,39668.37149845035,3514.8941569470335,0.9929133035590004,12.1537292890253,450.70865071716145
PPO,22.444480154741324,40014.45154862267,3541.4940835223847,0.9806748256132555,11.928136550839035,1133.331931798086
Regime-Aware DQN,22.458656116774172,39738.322598495404,3784.1665772870388,0.99057404087352,12.51704658916537,540.6102051130599
VWAP,22.49389697643429,39662.42906087499,3334.756101234924,0.9997966358545323,12.753038824331927,10.97571773210485
TWAP,22.587872903481678,39860.068850538046,3291.8763538212847,0.9998150974665072,12.844039669540921,19.64382219634001
DQN (shuffled regime),22.827649121830063,40666.6274774831,3844.7875463933538,0.9968209708515446,13.054042746868515,289.05629357158404
DQN,23.09068882185655,40508.28766252684,3960.973308670667,0.9957594113554425,13.119673043058384,388.7128958172159
