strategy,mean,std,min,max,n_runs
POV,20.080374244788175,11.27579353382248,4.429648318628391,40.27311365802124,30
Regime-Aware PPO,21.90149178719114,15.15093457630087,2.0381546406896023,67.18858155160548,30
PPO (shuffled regime),21.983829261848804,14.507369996107041,2.005545987109967,60.41794754620263,30
PPO,22.444480154741324,14.365113232728687,1.2346940732778653,54.989834690169296,30
Regime-Aware DQN,22.458656116774172,14.004217744315929,3.1852614748186308,60.35917939632747,30
VWAP,22.49389697643429,13.77330667793103,0.9654664287867681,54.11349220442518,30
TWAP,22.587872903481678,13.85121129188172,0.9592240694840607,54.44726657629267,30
DQN (shuffled regime),22.827649121830063,14.430572080609151,1.6514288023732233,58.4789928799761,30
DQN,23.09068882185655,14.5569294839041,2.062648046801399,65.15669808819933,30
