config,algo,diff_vs_twap,sd_across_series,is_bps,fill,n
dqn lr=0.0003 net=128,dqn,1.741959898976404,2.3770970128627757,11.777001038320435,0.9975507139415933,8
dqn lr=0.001 net=64,dqn,1.8895679477914582,3.542559780440016,11.924609087135488,0.9885020946053715,8
dqn lr=0.001 net=128,dqn,1.9276894001157505,2.9762520827953605,11.962730539459782,0.9956966140682485,8
dqn lr=0.0003 net=256,dqn,1.9988030005144137,2.8104671934190817,12.033844139858445,0.9955319650587046,8
dqn lr=0.001 net=256,dqn,2.186139463214685,2.712526607513547,12.221180602558716,0.9972616963640228,8
dqn lr=0.0001 net=256,dqn,3.989310754817572,6.962405564221283,14.024351894161603,0.9462236266002717,8
dqn lr=0.0003 net=64,dqn,5.257785194406313,9.433130609720381,15.292826333750345,0.9559887753089489,8
dqn lr=0.0001 net=128,dqn,8.51204313378716,15.417509138292033,18.547084273131194,0.8977709525659412,8
dqn lr=0.0001 net=64,dqn,11.629007738690206,19.297104430222753,21.664048878034237,0.8401870895865311,8
ppo lr=0.0001 ent=0 net=128,ppo,1.6909180829148929,2.9907362432142155,11.725959222258926,0.9990921765423275,8
ppo lr=0.0003 ent=0 net=64,ppo,1.721580878824054,3.558178073323202,11.756622018168084,0.9996357356504345,8
ppo lr=0.0003 ent=0 net=128,ppo,1.7294512797817052,2.595597383377586,11.764492419125736,0.9965109682139948,8
ppo lr=0.001 ent=0 net=128,ppo,1.8701311411510722,3.510383813032932,11.905172280495101,0.9910888899179986,8
ppo lr=0.0001 ent=0.01 net=128,ppo,2.031439206969238,3.1242838679522347,12.066480346313268,0.9995698169511033,8
ppo lr=0.001 ent=0.01 net=128,ppo,2.502755790880321,4.073670567633366,12.537796930224353,0.9839997653550875,8
ppo lr=0.0003 ent=0 net=256,ppo,2.5793826291271356,2.712601005572112,12.614423768471166,0.9770147406548353,8
ppo lr=0.0003 ent=0.01 net=128,ppo,4.6117731373837545,8.768406863839482,14.646814276727785,0.9477706550008893,8
