config,algo,scenario,seed,steps,horizon,is_bps,twap_bps,diff_vs_twap,fill
dqn lr=0.0001 net=64,dqn,stress,9102,150000,30,11.889897863855943,6.711211922508939,5.178685941347006,0.9162852759723299
dqn lr=0.0001 net=64,dqn,normal,9102,150000,30,10.935236871257727,11.107351679796587,-0.17211480853886058,0.9716573429449649
dqn lr=0.0003 net=64,dqn,stress,9101,150000,30,15.361443645071079,12.934324292002175,2.4271193530688993,0.9908297265128158
dqn lr=0.0001 net=64,dqn,high_volatility,9101,150000,30,15.460752344896655,17.024273655017875,-1.5635213101212229,0.9407397939518997
dqn lr=0.0001 net=64,dqn,regime_transition,9101,150000,30,46.477803480717064,7.873423531612429,38.60437994910465,0.6517695403838872
dqn lr=0.0001 net=64,dqn,stress,9101,150000,30,15.583088307615952,12.934324292002175,2.648764015613774,0.912385170070431
dqn lr=0.0003 net=64,dqn,high_volatility,9101,150000,30,15.032171886385106,17.024273655017875,-1.9921017686327707,0.9971577498380155
dqn lr=0.0003 net=64,dqn,high_volatility,9102,150000,30,12.165839948110733,10.330709531310193,1.8351304168005378,0.9973245658665505
dqn lr=0.0003 net=64,dqn,stress,9102,150000,30,11.201180446318094,6.711211922508939,4.489968523809152,0.9997112336301371
dqn lr=0.0003 net=64,dqn,normal,9102,150000,30,9.974430179221205,11.107351679796587,-1.1329215005753808,0.9951391694378582
dqn lr=0.0001 net=64,dqn,regime_transition,9102,150000,30,49.402900051014136,3.064411710063455,46.33848834095067,0.43327771969412054
dqn lr=0.0001 net=64,dqn,normal,9101,150000,30,9.717277471604856,11.234622792440588,-1.5173453208357333,0.9884625876638495
dqn lr=0.0003 net=64,dqn,normal,9101,150000,30,9.12737193586178,11.234622792440588,-2.1072508565788106,0.9867533914660744
dqn lr=0.0001 net=64,dqn,high_volatility,9102,150000,30,13.845434633311555,10.330709531310193,3.5147251020013632,0.9069192860107665
dqn lr=0.0001 net=128,dqn,high_volatility,9102,150000,30,11.040221220556713,10.330709531310193,0.7095116892465188,0.9599197235683231
dqn lr=0.0001 net=128,dqn,stress,9102,150000,30,10.49432721672914,6.711211922508939,3.783115294220197,0.9789424414972117
dqn lr=0.0001 net=128,dqn,stress,9101,150000,30,14.419231126955195,12.934324292002175,1.4849068349530152,0.9540028176687277
dqn lr=0.0001 net=128,dqn,regime_transition,9101,150000,30,44.222752822789126,7.873423531612429,36.34932929117669,0.7031786985359039
dqn lr=0.0001 net=128,dqn,high_volatility,9101,150000,30,15.12077673366863,17.024273655017875,-1.9034969213492452,0.9858768611754034
dqn lr=0.0001 net=128,dqn,normal,9101,150000,30,9.654351213853444,11.234622792440588,-1.5802715785871475,0.9903984265010765
dqn lr=0.0001 net=128,dqn,normal,9102,150000,30,10.383973713774102,11.107351679796587,-0.7233779660224855,0.9814768570263812
dqn lr=0.0001 net=128,dqn,regime_transition,9102,150000,30,33.0410401367232,3.064411710063455,29.97662842665973,0.628371794554502
dqn lr=0.0001 net=256,dqn,high_volatility,9101,150000,30,15.398829715220597,17.024273655017875,-1.625443939797278,0.9922314101421504
dqn lr=0.0001 net=256,dqn,high_volatility,9102,150000,30,10.262209847471224,10.330709531310193,-0.06849968383896865,0.9921040008921606
dqn lr=0.0001 net=256,dqn,regime_transition,9102,150000,30,15.347465352488765,3.064411710063455,12.283053642425307,0.8585454732262072
dqn lr=0.0001 net=256,dqn,normal,9102,150000,30,10.067551483649778,11.107351679796587,-1.0398001961468073,0.9917538750400152
dqn lr=0.0001 net=256,dqn,normal,9101,150000,30,9.275007583374896,11.234622792440588,-1.9596152090656949,0.9924129759648491
dqn lr=0.0001 net=256,dqn,stress,9102,150000,30,12.477316562236144,6.711211922508939,5.766104639727201,0.9550863607874829
dqn lr=0.0001 net=256,dqn,regime_transition,9101,150000,30,24.320074910987795,7.873423531612429,16.446651379375375,0.8108514009962228
dqn lr=0.0001 net=256,dqn,stress,9101,150000,30,15.04635969786362,12.934324292002175,2.1120354058614454,0.9768035157530852
