strategy,mean,std,min,max,n_runs
POV,20.085061316283483,10.13787847867058,2.446908988365491,41.250244091529574,48
PPO (shuffled regime),20.61193051507018,10.712883675653199,3.3584299719813204,42.91086361360939,48
Regime-Aware PPO,21.089145223226144,11.120951174521485,3.5104537243260356,44.91401163430397,48
Regime-Aware DQN,21.251059437121835,11.56349266399026,0.13217324129917168,42.15970048149908,48
DQN,21.5007726439602,11.296137451329008,1.5532079330018467,41.45638050805302,48
DQN (shuffled regime),21.946886089309658,11.958733534022103,1.6875791308461563,48.99053971886631,48
VWAP,22.744048677254458,12.862387819693172,-0.8995737665108976,50.33927877515812,48
TWAP,22.834801886195606,12.79669704612897,-0.9140718941790856,50.66487432234512,48
PPO,24.7027049167822,20.021095464093676,4.354159746756715,120.60697899257771,48
