scenario,seed,strategy,window,implementation_shortfall_bps,implementation_shortfall,total_execution_cost,total_impact_cost,total_transaction_fees,terminal_penalty,fill_rate,vwap_slippage_bps,average_execution_price,arrival_price,vwap_market_price,executed_inventory,remaining_inventory,window_start
aapl_real,0,TWAP,0,5.941273588591096,1212.5069064222876,1215.5399314222875,159.66656093586332,3.033025,75.20278346447141,0.9373335275150164,17.027212128532916,315.53748677029665,315.35,315.0011276681434,6066.05,405.5525000000011,60
aapl_real,0,TWAP,1,5.917528188758372,728.9055244636264,730.8571582136265,94.93262618921116,1.9516337500000005,0.0,1.0,16.18361397834346,315.7617423958167,315.575,315.25155145433564,3903.267500000001,0.0,90
aapl_real,0,TWAP,2,12.59131829096841,1369.7201085831853,1371.3400085831852,57.19470771086379,1.6199000000000001,36.409090821573876,0.9378878706098023,14.937299315241598,315.3265411499974,314.915,314.85623097366516,3239.8,214.55750000000006,120
aapl_real,0,TWAP,3,-1.4483591159262206,-115.9453280560762,-114.7058030560762,31.732605206356894,1.239525,5.92144870428755,0.9744281639042376,9.952700397237225,314.61084133972275,314.66,314.2980299269922,2479.05,65.05750000000008,150
aapl_real,0,TWAP,4,-20.460801882064523,-1588.1609586715558,-1586.9270199215557,42.53718020625858,1.23393875,0.0,1.0,2.6285552448551037,313.87646685920527,314.52,313.7939843768615,2467.8775,0.0,180
aapl_real,0,TWAP,5,18.954738016138524,2849.3628313135705,2851.3053313135706,61.58503435294925,1.9425000000000001,285.5876080243638,0.810728748107517,17.9108690298267,314.35991640239104,313.7,313.7978771344717,3885.0,906.9849999999999,210
aapl_real,0,TWAP,6,38.05784843601957,5364.117852460564,5366.195502460564,79.72498118385208,2.0776499999999998,498.2453152951039,0.9248319481330259,17.724525062301176,314.8710039075795,313.7,314.3138974522972,4155.3,337.73249999999956,240
aapl_real,0,TWAP,7,21.033895153874617,1537.8391823323707,1538.9994760823706,27.33054817670013,1.1602937500000001,0.0,1.0,8.684802702939376,315.72269390071796,315.06,315.44873289990517,2320.5875,0.0,270
aapl_real,0,TWAP,8,2.136816500190948,182.92177409890482,184.27733159890482,40.02237553794414,1.3555574999999997,0.0,1.0,12.613877212839695,315.82247104940177,315.755,315.42459833407224,2711.115,0.0,300
aapl_real,0,TWAP,9,22.12069415032612,1814.2833235061257,1815.5832485061258,21.042048360948755,1.2999250000000002,0.0,1.0,11.663203415092804,316.1678415383604,315.47,315.79951813651894,2599.8500000000004,0.0,330
aapl_real,0,TWAP,10,24.69991417494016,1905.5522159390357,1906.7734359390356,23.37925996411337,1.22122,0.0,1.0,-1.9323235936578702,316.64518383908677,315.865,316.70638176046054,2442.44,0.0,360
aapl_real,0,TWAP,11,84.87148951888214,17623.072259637174,17626.350507137173,243.85318344626072,3.2782475,0.0,1.0,-1.1515386389858668,319.387880073063,316.7,319.42466305723855,6556.495,0.0,390
aapl_real,0,TWAP,12,26.571513730736864,10811.397102131463,10817.692910881462,741.0064196186836,6.29580875,0.0,1.0,9.534382845185847,323.99361860893816,323.135,323.68500493311035,12591.6175,0.0,420
aapl_real,0,TWAP,13,11.77120991455812,5308.33210051003,5314.99022551003,595.561171951795,6.658125,281.9640594615801,0.9595955592515354,12.54875046037869,325.34746122527355,324.97,324.9397025011379,13316.25,560.6899999999994,450
aapl_real,0,TWAP,14,15.30126324139426,5597.1937016476895,5602.83892914769,440.91840165178587,5.6452275,0.0,1.0,16.00283598500141,324.485745627758,323.99,323.9673060614176,11290.455,0.0,480
aapl_real,0,TWAP,15,41.73029578931864,11393.854468438309,11397.98614343831,289.92932116287034,4.131675,256.73494639351406,0.9826658334438286,8.437325590720427,326.03777293979374,324.69,325.76291616089054,8263.35,145.7649999999985,510
aapl_real,0,TWAP,16,9.860804983873138,2261.4588631083907,2264.9723318583906,255.50604073988265,3.5134687500000004,0.0,1.0,14.141656530077276,326.6918270922587,326.37,326.2304831480266,7026.9375,0.0,540
aapl_real,0,TWAP,17,-6.270655825710666,-1231.2114063195854,-1228.2056975695855,211.66255110419814,3.00570875,0.0,1.0,9.231555443081769,326.41518783942064,326.62,326.11413376875475,6011.4175,0.0,570
