strategy,mean,std,min,max,n_runs
PPO,9.672555556756866,17.253282716126925,-42.608854704172984,53.24803409782912,63
Regime-Aware PPO,9.700915443572926,24.25436565982049,-56.4216257778729,83.71343668722761,63
Regime-Aware DQN,10.13549371591337,19.783941315172665,-58.64105332540962,63.93344846401088,63
POV,10.493935191677107,16.014229797872265,-44.17896456672225,57.21788087698076,63
DQN,10.569423667815395,21.008985839720822,-58.992059637134865,64.31227487330005,63
VWAP,11.09954456895802,24.601950465227386,-72.30449186569233,69.68847735885946,63
TWAP,11.501148111634182,26.841221659515195,-87.89678439577672,84.87148951888214,63
