scenario,seed,strategy,window,implementation_shortfall_bps,implementation_shortfall,total_execution_cost,total_impact_cost,total_transaction_fees,terminal_penalty,fill_rate,vwap_slippage_bps,average_execution_price,arrival_price,vwap_market_price,executed_inventory,remaining_inventory,window_start
liquidity_shock,2024,TWAP,0,-8.152735019358623,-3253.0805809147323,-3240.017056266766,277.7755840591606,13.06352464796635,0.0,1.0,32.51159086275691,152.59732345636812,152.72183352040435,152.10281301379024,26127.049295932702,0.0,4200
liquidity_shock,2024,TWAP,1,-146.4149937849549,-108724.76127239731,-108699.93354274695,946.384853330927,24.8277296503603,0.0,1.0,16.07974595393484,147.35679720146297,149.54638043769776,147.1202316065712,49655.4593007206,0.0,4290
liquidity_shock,2024,TWAP,2,67.59829582956624,35511.56278692304,35529.54188404784,332.86179641560557,17.979097124798255,0.0,1.0,36.7220888556656,147.08285187294047,146.0952727264342,146.54470909008708,35958.194249596505,0.0,4380
liquidity_shock,2024,TWAP,3,74.21316188181726,28356.04179095441,28369.100070130167,220.26598828719762,13.058279175756983,0.0,1.0,29.13157679901576,147.38723227247542,146.30148271048114,146.95911719159716,26116.558351513966,0.0,4470
liquidity_shock,2024,TWAP,4,-18.467622043117366,-6908.3288956792685,-6895.634304758629,188.69015567773576,12.694590920639518,0.0,1.0,25.16922345725378,147.06541119508154,147.33750853712536,146.69618828076494,25389.181841279034,0.0,4560
liquidity_shock,2024,TWAP,5,14.957352533378,7050.833943053461,7066.938031058858,172.18728917053852,16.104088005396893,0.0,1.0,27.015584672049776,146.5779792572799,146.35906484434665,146.18305718138961,32208.176010793784,0.0,4650
liquidity_shock,2024,TWAP,6,37.638526570567784,16029.899532160001,16044.46319041998,143.91164542029856,14.563658259977945,0.0,1.0,36.03730629339148,146.76728595762182,146.21694691347483,146.24027539792732,29127.31651995589,0.0,4740
liquidity_shock,2024,TWAP,7,56.31868799196333,17885.970019761866,17896.804306291386,93.98037621653374,10.834286529520591,0.0,1.0,29.010583401096252,147.39022599422603,146.56479231333586,146.96387521832906,21668.573059041184,0.0,4830
liquidity_shock,2024,TWAP,8,33.13357167695513,10206.951066038266,10217.429009174239,151.5356251465705,10.477943135973055,0.0,1.0,23.52466371701765,147.48856160718205,147.0014931561711,147.14241402633408,20955.88627194611,0.0,4920
liquidity_shock,2024,TWAP,9,13.698303716316929,5880.606657528737,5895.1370126773245,239.6211093966082,14.530355148587233,0.0,1.0,22.90689885489574,147.92569479665306,147.72333888045577,147.58761733440164,29060.710297174464,0.0,5010
liquidity_shock,2024,TWAP,10,57.7096337603344,31952.05376573652,31970.82076865007,343.77173174365447,18.76700291354735,0.0,1.0,37.202834630620224,148.36266861600797,147.51138581094506,147.8127632373067,37534.005827094705,0.0,5100
liquidity_shock,2024,TWAP,11,67.26637637221192,27363.392925092638,27377.105288830284,261.9247680056833,13.712363737647738,0.0,1.0,31.335447147376417,149.3279672535083,148.33020372241242,148.86150307731248,27424.727475295476,0.0,5190
liquidity_shock,2024,TWAP,12,27.402615115558124,10216.180284628592,10228.694751524474,216.84808720028474,12.514466895882359,0.0,1.0,28.367682734026374,149.36286685853344,148.95469204894607,148.94035757752826,25028.933791764717,0.0,5280
liquidity_shock,2024,TWAP,13,101.55914065236671,40487.34150207456,40500.69201448209,192.1258676843458,13.350512407531438,0.0,1.0,21.031865368310903,150.82062072745236,149.30429909626034,150.5040825672588,26701.024815062876,0.0,5370
liquidity_shock,2024,TWAP,14,23.652411816578695,13380.321880900088,13399.040342324255,226.64363878223864,18.718461424167213,0.0,1.0,35.662750210258025,151.46663701989615,151.10922725266963,150.92838489089598,37436.92284833442,0.0,5460
liquidity_shock,2024,TWAP,15,29.92371669000459,11044.696351783754,11056.93468325115,126.21499264908687,12.238331467394422,0.0,1.0,30.805007749654926,151.24592030357326,150.7946865556882,150.7814379670653,24476.662934788845,0.0,5550
liquidity_shock,2024,TWAP,16,33.902032794017316,10212.35607501542,10222.360428259492,99.74633349380024,10.00435324407177,0.0,1.0,26.698021015023528,151.06054674797608,150.5501511318943,150.658318851697,20008.70648814354,0.0,5640
liquidity_shock,2024,TWAP,17,13.792314073622261,4916.9504848579145,4928.763436820439,181.31019723795634,11.812951962524153,0.0,1.0,22.367064926676573,151.10152342467433,150.89340649926666,150.76430791829094,23625.903925048304,0.0,5730
liquidity_shock,2024,TWAP,18,29.379273694282567,14436.52682218915,14452.838625467326,268.7578088970734,16.311803278176633,0.0,1.0,24.011092934329938,151.06496387983455,150.62244607306624,150.7031092436803,32623.60655635327,0.0,5820
liquidity_shock,2024,TWAP,19,20.239825132891415,10887.696900063958,10905.552546089577,350.85743799555235,17.85564602561807,0.0,1.0,35.36821813393145,150.93912178678073,150.6342407176656,150.40715846782126,35711.29205123614,0.0,5910
liquidity_shock,2024,VWAP,0,-9.24108442097885,-3687.3505891088,-3674.2870644608333,284.4829097656228,13.063524647966348,0.0,0.9999999999999997,31.418812150562378,152.58070198475548,152.72183352040435,152.10281301379024,26127.049295932695,0.0,4200
liquidity_shock,2024,VWAP,1,-133.95484629374266,-99472.1121660452,-99447.28443639484,1079.891899611343,24.827729650360293,0.0,0.9999999999999997,28.745372813559865,147.543134197166,149.54638043769776,147.1202316065712,49655.459300720584,0.0,4290
liquidity_shock,2024,VWAP,2,66.53701900335665,34954.03987623799,34972.01897336279,335.249961087074,17.979097124798244,0.0,0.9999999999999996,35.664066847732414,147.06734712020412,146.0952727264342,146.54470909008708,35958.19424959649,0.0,4380
liquidity_shock,2024,VWAP,3,75.46489010262937,28834.313526590584,28847.371805766343,220.86092474437334,13.058279175756983,0.0,1.0,30.37770360050336,147.40554524194096,146.30148271048114,146.95911719159716,26116.558351513966,0.0,4470
liquidity_shock,2024,VWAP,4,-20.053496223075552,-7501.569346276418,-7488.874755355779,190.2411779235341,12.694590920639513,0.0,0.9999999999999997,23.576416218928568,147.0420453200287,147.33750853712536,146.69618828076494,25389.181841279027,0.0,4560
liquidity_shock,2024,VWAP,5,15.098204849072687,7117.231140434586,7133.335228439983,179.32428749031976,16.1040880053969,0.0,1.0000000000000007,27.156606577074864,146.58004075860052,146.35906484434665,146.18305718138961,32208.176010793803,0.0,4650
liquidity_shock,2024,VWAP,6,36.86198818715041,15699.179033691276,15713.742691951255,147.3327705830118,14.563658259977945,0.0,0.9999999999999999,35.26089178462966,146.7559316504634,146.21694691347483,146.24027539792732,29127.316519955886,0.0,4740
liquidity_shock,2024,VWAP,7,56.61500123866959,17980.07465955395,17990.90894608347,95.12203915869317,10.834286529520595,0.0,1.0000000000000004,29.306092004136378,147.39456890317234,146.56479231333586,146.96387521832906,21668.57305904119,0.0,4830
