strategy,mean,std,min,max,n_runs
PPO,28.506137236638224,22.589633960482818,-7.984602693419174,71.07084768500769,24
Regime-Aware PPO,28.652877486055605,23.130556618223046,-19.352114288625717,78.49805700407647,24
TWAP,28.665112099858224,19.720982992906812,-7.375968488299469,62.76951802101221,24
VWAP,28.674141649226243,20.36393030076448,-8.359980404906393,63.49365816435268,24
PPO (shuffled regime),28.703546458475287,20.722639727758377,-10.530675393143763,65.3018248804148,24
POV,29.671278286561456,14.672494122480954,11.941704765159368,67.6485610537508,24
Regime-Aware DQN,54.703826779603155,55.954674711620164,7.357915591855013,201.45971826596423,24
DQN,57.60910407633069,65.13151448055334,4.737373297802408,231.14416331641422,24
DQN (shuffled regime),60.98839971954402,62.8099362567728,-14.18027306098151,220.61919110992707,24
