strategy,high_volatility,liquidity_shock,low_liquidity,normal,regime_transition,stress
DQN,52.26905799482682,30.29649608093915,24.29273915068879,23.694419737062162,34.0342419298271,181.06766956464014
DQN (shuffled regime),69.74943200291939,27.669859943858487,27.134044140216353,28.031226453375005,34.030561896960755,179.31527387993413
POV,30.760748907105704,27.538216926433925,26.357341309660217,24.734041680876437,36.441294219636646,32.19602667565581
PPO,25.4513087370411,24.172358650291777,26.568950492002703,25.270955665219397,35.52923289735433,34.04401697792004
PPO (shuffled regime),28.595872154414376,29.832249013354364,25.621042606311182,26.07338734131872,32.84465839891796,29.254069236535123
Regime-Aware DQN,34.45115251164091,24.11483869482028,30.74442233919296,27.61215594594509,43.627719054178726,167.67267213184093
Regime-Aware PPO,29.41628988148775,30.385982864047005,23.998579012462187,24.57717137585577,34.746618974277,28.79262280820393
TWAP,27.61590363787775,28.299929323063417,27.412433070090156,25.819405435660656,33.389732602725985,29.453268529731382
VWAP,27.913758372529713,28.39528374929884,27.439411080989466,25.841308595407973,33.09177742514724,29.363310671984234
