rq,treatment,control,scope,level,n,mean,ci_low,ci_high,p_value,win_rate,n_seeds,seed_std,seeds_favouring
RQ1,Regime-Aware PPO,POV,TURBULENT,seed,4,-0.8986930502040966,,,,0.5,4.0,15.568157173614617,2.0
RQ2,Regime-Aware DQN,DQN,ALL,window,480,-2.905277296727545,-8.669333676733514,2.718374451074138,0.5772072522007636,0.51875,,,
RQ2,Regime-Aware DQN,DQN,ALL,seed,4,-2.9052772967275446,,,,0.5,4.0,12.191027401582724,2.0
RQ2,Regime-Aware DQN,DQN,high_volatility,window,80,-17.8179054831859,-37.755105197084475,1.4734787960643045,0.012974197441274699,0.6875,,,
RQ2,Regime-Aware DQN,DQN,high_volatility,seed,4,-17.817905483185903,,,,0.75,4.0,51.088754758741025,3.0
RQ2,Regime-Aware DQN,DQN,liquidity_shock,window,80,-6.181657386118867,-12.716270245729364,-0.9015224503308981,0.034009508213496124,0.625,,,
RQ2,Regime-Aware DQN,DQN,liquidity_shock,seed,4,-6.181657386118868,,,,1.0,4.0,2.3555914456799734,4.0
RQ2,Regime-Aware DQN,DQN,low_liquidity,window,80,6.45168318850417,-0.09732262314931177,12.87842783985716,0.03524171414050673,0.4125,,,
RQ2,Regime-Aware DQN,DQN,low_liquidity,seed,4,6.4516831885041706,,,,0.0,4.0,10.120253681274644,0.0
RQ2,Regime-Aware DQN,DQN,normal,window,80,3.917736208882927,-0.8323480023188662,9.670660331119102,0.14882832177824706,0.4125,,,
RQ2,Regime-Aware DQN,DQN,normal,seed,4,3.9177362088829266,,,,0.25,4.0,8.40790367392647,1.0
RQ2,Regime-Aware DQN,DQN,regime_transition,window,80,9.593477124351622,-7.872271895209038,28.262157564174746,0.6314914213386154,0.4875,,,
RQ2,Regime-Aware DQN,DQN,regime_transition,seed,4,9.593477124351622,,,,0.0,4.0,4.375057983533157,0.0
RQ2,Regime-Aware DQN,DQN,stress,window,80,-13.39499743279922,-35.81997995297477,1.3555275569573029,0.900758312562241,0.4875,,,
RQ2,Regime-Aware DQN,DQN,stress,seed,4,-13.394997432799222,,,,0.5,4.0,43.111499840295934,2.0
RQ2,Regime-Aware DQN,DQN,TURBULENT,window,320,-6.950270794438092,-15.84701894558477,1.1748519247457017,0.0650337812422011,0.571875,,,
RQ2,Regime-Aware DQN,DQN,TURBULENT,seed,4,-6.950270794438092,,,,0.75,4.0,15.311107436979114,3.0
RQ2,Regime-Aware PPO,PPO,ALL,window,480,0.146740249417383,-2.6556376233749583,3.311874240294132,0.2848142874804098,0.5166666666666667,,,
RQ2,Regime-Aware PPO,PPO,ALL,seed,4,0.14674024941738306,,,,0.75,4.0,2.1482945803623132,3.0
RQ2,Regime-Aware PPO,PPO,high_volatility,window,80,3.9649811444466523,-0.4796987954406947,8.692273462258322,0.07361238010404692,0.4125,,,
RQ2,Regime-Aware PPO,PPO,high_volatility,seed,4,3.9649811444466523,,,,0.25,4.0,4.74964480684467,1.0
RQ2,Regime-Aware PPO,PPO,liquidity_shock,window,80,6.21362421375523,0.20745805448841395,14.564962321958372,0.23237021379633238,0.475,,,
