strategy,implementation_shortfall_bps,execution_cost,market_impact_cost,completion_rate,vwap_slippage_bps,terminal_penalty
PPO,28.506137236638224,152976.03981451745,10276.98553598401,0.9595933712858353,29.565565819998824,9999.010979093082
Regime-Aware PPO,28.652877486055605,152187.8741378961,10150.710126931657,0.9709071292799023,27.607936845208823,25017.227120905667
TWAP,28.665112099858224,144430.25109171044,9597.729050013528,0.9995193972194453,31.042650765057047,323.20660769731836
VWAP,28.674141649226243,145127.1396113114,9753.541715136455,0.9999281387419532,31.083571094635243,32.80495800132689
PPO (shuffled regime),28.703546458475287,148676.92979361463,10348.168119910599,0.982285853914719,29.3290246786478,9159.5543555288
POV,29.671278286561456,153005.88533051024,12914.1762991134,0.9999063930840385,29.775351297168964,19.438071573087537
Regime-Aware DQN,54.703826779603155,351873.9386092301,7481.856741840834,0.7447161972147748,22.949368663513294,281598.891571706
DQN,57.60910407633069,376950.2903708214,7141.279467034491,0.7445417289326057,24.25948043662377,298396.8773765407
DQN (shuffled regime),60.98839971954402,393074.04989059037,6384.0672292468735,0.7103576452163959,22.526652631163284,333003.99142512964
