strategy_name,scenario,seed,implementation_shortfall_bps,execution_cost,market_impact_cost,total_transaction_fees,completion_rate,average_execution_price,arrival_price,vwap_slippage_bps,terminal_penalty,turnover,reward_total,action_0_pct,action_1_pct,action_2_pct,action_3_pct
TWAP,liquidity_shock,2024,26.467494472750094,8861.33157428633,251.7707643405426,14.67097229777691,1.0,149.11961001147642,148.7286426474371,28.547962385864302,0.0,4373398.719296196,,,,,
VWAP,liquidity_shock,2024,27.010663559854958,9271.532583688095,262.52217910996086,14.670972297776913,1.0,149.12774418091695,148.7286426474371,29.10011471680455,0.0,4373808.920305598,,,,,
POV,liquidity_shock,2024,24.522140771467846,8870.227656502457,354.72184281657326,14.670972297776913,1.0,149.09212258666017,148.7286426474371,27.637384319614092,0.0,4373407.615378412,,,,,
DQN,liquidity_shock,2024,33.05051766767561,13980.079027052905,285.5725645055316,12.70164998784243,0.8965217137318133,149.0518428439516,148.7286426474371,24.066535723272224,5832.917229560866,3786519.22273901,,,,,
Regime-Aware DQN,liquidity_shock,2024,25.904295299922563,9709.948658455747,243.84216592002235,12.316971403657558,0.8531073497506696,149.01639861756618,148.7286426474371,21.618302853555214,4803.107938382016,3670189.6674713595,,,,,
DQN (shuffled regime),liquidity_shock,2024,25.96484094271567,9795.549099155172,292.4607779883228,13.334877448467228,0.9225802567722525,149.03910318752963,148.7286426474371,23.114516712361755,3188.3696597374346,3973945.3413107605,,,,,
PPO,liquidity_shock,2024,19.446505763891384,5692.80510096631,156.3751399273448,5.243436794813318,0.3644868919123987,97.0785227985615,148.7286426474371,10.522628656465287,9215.247091847974,1562574.6633739849,,,,,
Regime-Aware PPO,liquidity_shock,2024,37.45550373401734,17234.551739751485,206.37728296182314,12.616463723713732,0.8955804242315943,149.01221409698832,148.7286426474371,21.292984956736625,7760.9921707969315,3761760.0118131945,,,,,
PPO (shuffled regime),liquidity_shock,2024,26.55459807065231,8891.293306368298,251.48749377309713,14.670972297776917,1.0,149.12087093346224,148.7286426474371,28.634744354826818,0.0,4373428.681028279,,,,,
TWAP,liquidity_shock,123,23.257299784684434,10485.57312297919,317.58765763906615,15.290958413633486,1.0,150.52482301259985,150.1777460002536,31.203712832745065,0.0,4596454.229685422,,,,,
VWAP,liquidity_shock,123,22.55166945480288,10164.668717580533,323.38900442663544,15.290958413633486,1.0,150.51431232440078,150.1777460002536,30.498633445946744,0.0,4596133.325280026,,,,,
POV,liquidity_shock,123,25.603945393528466,11548.311129967024,421.9506850030468,15.290958413633486,1.0,150.56118006293156,150.1777460002536,29.172475385642752,0.0,4597516.9676924115,,,,,
DQN,liquidity_shock,123,27.016485169568444,12658.585327628189,124.17936246982046,4.807878326394222,0.3270104579097391,150.1853636907117,150.1777460002536,8.641727557789858,12507.062245805679,1444660.2783928898,,,,,
Regime-Aware DQN,liquidity_shock,123,19.267833154512623,9629.383705560469,378.2999847419665,13.860560083181557,0.9273537720564218,150.39191770863016,150.1777460002536,22.3117210439578,2677.5924860634777,4165966.817127277,,,,,
DQN (shuffled regime),liquidity_shock,123,21.308884563360476,9772.657996072838,355.2801694116104,15.22665884594312,0.9964070148539685,150.4963390846442,150.1777460002536,29.32046299453891,34.44380859057501,4576647.711646428,,,,,
PPO,liquidity_shock,123,23.270723169288686,10492.381693891848,317.5582641045572,15.290958413633485,1.0,150.52502845607734,150.1777460002536,31.217225373259303,0.0,4596461.038256334,,,,,
Regime-Aware PPO,liquidity_shock,123,18.98905693252997,8475.267686804704,291.432855494841,13.567421367114914,0.895007272053687,150.43253594179433,150.1777460002536,25.05865070309873,2035.2937738839341,4076855.3104329333,,,,,
PPO (shuffled regime),liquidity_shock,123,24.919187131069,11177.696587023249,430.67281749883733,15.290958413633486,1.0,150.55121177073056,150.1777460002536,32.30511090195519,0.0,4597146.353149468,,,,,
TWAP,low_liquidity,2024,23.063274368245878,15940.189129645083,630.6171436840498,36.6092610874191,1.0,149.73878881876894,149.39855578165051,28.386538910317398,0.0,10958719.988583792,,,,,
VWAP,low_liquidity,2024,23.426951863416683,16730.430122155165,655.5562626712864,36.609261087419114,1.0,149.7442639963263,149.39855578165051,28.76094206365134,0.0,10959510.2295763,,,,,
POV,low_liquidity,2024,21.189562531429367,16227.209281181986,891.0559314769216,36.60926108741911,1.0,149.7125686228286,149.39855578165051,27.552951508996053,0.0,10959007.008735325,,,,,
DQN,low_liquidity,2024,20.260651587825272,14629.260301179811,838.0312012059892,35.683995125529464,0.9763859124693726,149.68341861965789,149.39855578165051,24.64195999660092,1968.6368985811769,10679289.467406299,,,,,
Regime-Aware DQN,low_liquidity,2024,20.798223015431155,15576.299016356026,898.1188250578413,36.22401295485096,0.9899164462220866,149.70125106693018,149.39855578165051,25.93167823080679,725.7547275684396,10842756.193592805,,,,,
DQN (shuffled regime),low_liquidity,2024,26.85875805405281,20431.97177279173,801.9920105488376,36.26960842689217,0.9944534360234828,149.7483680061153,149.39855578165051,29.05377966271203,3108.2985103321766,10857323.665389419,,,,,
PPO,low_liquidity,2024,21.184517689873992,13744.698220525286,677.4207969245732,36.53603420032604,0.998368030662857,149.71107590353225,149.39855578165051,26.53544897380645,68.31136202262131,10934763.41755136,,,,,
Regime-Aware PPO,low_liquidity,2024,20.844239739981717,14171.943060076577,737.4964306038518,35.8965877154267,0.9839901035558091,149.67262988109508,149.39855578165051,23.94720336533062,2782.5404117072535,10742637.377639934,,,,,
PPO (shuffled regime),low_liquidity,2024,19.868918233410263,12126.870700847388,747.1024990884167,35.74423212552823,0.9813776544023198,149.6822361001758,149.39855578165051,24.488352027406222,1833.2185855643093,10697291.226194015,,,,,
TWAP,low_liquidity,123,21.48221491052725,24164.517081226586,795.6678898491214,38.23128346916149,1.0,151.1233374132874,150.80093426404522,31.225683899731074,0.0,11538105.30183136,,,,,
